Location,fCO2,fCO2,fCO2,log10fCO2,log10fCO2,log10fCO2
,mean,std,count_nonzero,mean,std,count_nonzero
CLPD_27Jun2018_1.1,4.38,2.318916002914169,8,-0.7861021645,0.2134916762851541,8
CLPD_27Jun2018_1.2,7.097142857142857,5.788027050978351,7,-0.7228191011428571,0.5233636830698998,7
CLPD_27Jun2018_1.3,1.2300000000000002,2.9822905865889635,6,-1.0920376345,0.44542107479674015,8
CLPD_27Jun2018_1.4.1,6.87,3.644157751015413,8,-0.5954239225,0.2264985967537794,8
CSTL_02Jul2018_1.1,1.152,0.8883242651194441,4,-1.26143937275,0.2158980668783642,5
CSTL_02Jul2018_1.2,139.29000000000002,395.6222808979004,7,-0.888365708,1.7158472921472452,8
DISY_05Jul2019_1.1,4.170000000000001,3.3303281691577657,8,-0.8628578801428571,0.5350088604433428,8
DISY_05Jul2019_1.2,6.930000000000001,2.2711859708719833,8,-0.56057857675,0.14591935271693196,8
DISY_05Jul2019_2.1.1,2.37,1.7136427365619207,7,-0.8898911635000001,0.12565169711696753,8
DISY_05Jul2019_2.2.1,3.936,2.5658682740935865,5,-0.8922852532000001,0.3868020193074594,5
DISY_06Jul2018_1.1.1,2.11,2.0742143614851636,22,-1.1263771737619048,0.38843257230408873,24
DISY_14Jun2019_1.1.1,1.0400000000000003,0.692820323027551,21,-1.3586870094736843,0.24104864440146756,21
EETR_10Jun2019_2.1,888.4943999999999,1201.6434666226085,5,1.2143651011999999,0.6592084841812671,5
EETR_24Jun2018_1.1.1,125.37,211.3206254553898,8,0.24720226625,0.680047530362671,8
EETR_24Jun2018_1.2.1,160.83,238.06688111897103,8,0.53503855325,0.5014532420911975,8
EETR_24Jun2018_1.3.1,273.90000000000003,480.4177567790053,8,0.34726183025,0.871673708157246,8
EETR_24Jun2018_1.4.1,408.99,501.61954473200393,8,0.89542741575,0.645906797817637,8
EETR_24Jun2018_1.5.1,361.19999999999993,598.9322018392398,7,0.7209657648571428,0.6959691203190161,7
GBSN_23Jun2018_1.1,153.93599999999998,163.58756334147162,5,0.6013810518,0.4810305917842386,5
GBSN_23Jun2018_1.2,2.64,1.9707576498102741,7,-0.9895877907142857,0.34507828266867535,8
GBSN_23Jun2018_1.3,2.94,1.4946762669077016,7,-0.8694835462857142,0.12568960165815588,8
GBSN_23Jun2018_1.4,2.61,1.9346760526174476,8,-1.05252476475,0.29481259585835945,8
GBSN_23Jun2018_1.5,0.6000000000000001,0.736943494635589,7,-1.3489454992,0.1155406968735386,8
GBSN_23Jun2018_1.6,2.2560000000000002,1.6153265923645286,5,-1.1819342788,0.49238791786440506,5
GRND_02Jul2018_1.1,1.7759999999999998,3.159442988882692,4,-0.7481046585,0.29769571173786497,5
GRND_02Jul2018_1.2,8.25,21.502613794606457,7,-1.3476282204285714,0.8440764453219377,8
GRND_02Jul2018_1.3,2.67,2.923774468535003,6,-1.0538813508333333,0.58544622543329,8
GVNT_06Jun2019_2.1,352.224,478.28015689551665,5,0.8271755799999999,0.6148382278718013,5
GVNT_06Jun2019_2.2,311.34000000000003,277.960920994301,4,0.94253385,0.4693146364709181,4
GVNT_06Jun2019_2.3,269.568,258.7081110440877,5,0.81346512,0.5699144709261575,4
GVNT_06Jun2019_2.4,48.672,32.43926509648454,5,0.1828905,0.4188568536023435,5
GVNT_06Jun2019_3.1,34.992000000000004,23.382701298181953,5,0.09479242,0.2653007448449627,5
GVNT_06Jun2019_3.2,76.464,33.0131319326113,5,0.45406050000000003,0.25872513346918,5
GVNT_06Jun2019_3.3,66.19200000000001,49.23961332098374,5,0.3413035,0.3315037821260717,5
GVNT_28Jun2018_2.1,25.709999999999997,35.260621500073256,8,-0.31295468075,0.5671114616337632,8
GVNT_28Jun2018_2.2,84.81,63.15928435313371,8,0.421628889625,0.3757039096420378,8
GVNT_28Jun2018_2.3,88.89,62.48314515588527,8,0.472841202375,0.3209118799747572,8
GVNT_28Jun2018_2.4,27.75,14.825117682019062,8,0.002927452999999998,0.2540274488372162,8
GVNT_28Jun2018_3.2,85.5,44.450241844111495,8,0.48517821725,0.2753817315262223,8
GVNT_28Jun2018_3.3,163.20000000000002,280.83343390700475,8,0.482386197,0.5472095195259042,8
GVNT_28Jun2018_3.4,77.22,42.012194148161996,8,0.46411259325,0.19364231528971215,8
MDVC_09Jun2019_1.3,100.48,45.254056171795256,3,0.5825364593333333,0.24194425410748488,3
MDVC_09Jun2019_2.1,778.7199999999999,226.8986875237492,3,1.4968123413333334,0.1418275295192336,3
MDVC_09Jun2019_2.2,76.02,50.00007999993599,4,0.415954443,0.3246071073851086,4
MDVC_09Jun2019_2.3,19.104,22.12664637942225,5,-0.38226874879999995,0.5775558905025824,5
MDVC_25Jun2018_1.1,153.93599999999998,163.58756334147162,5,0.6013810518,0.4810305917842386,5
MDVC_25Jun2018_1.2,427.008,437.10327054370117,5,0.9492751042,0.640106224885902,5
MDVC_25Jun2018_1.3,104.88,118.36027712032447,5,0.2852472898,0.7099434954532209,5
MDVC_25Jun2018_1.4,106.272,45.63832074036028,5,0.6055004492,0.22590464586342127,5
MDVC_25Jun2018_1.5,79.584,63.574319343584015,5,0.400463319,0.37422528091925045,5
MDVC_25Jun2018_1.6,174.288,204.67338742494104,5,0.564251234,0.6637586615469672,5
MMTH_03Jul2018_3.1,8.824615384615385,10.991263663613793,11,-0.5756800905999999,0.579887210084963,13
MMTH_13un2019_2.2,148.704,45.897325412272124,5,0.7736798144,0.14576897774595293,5
MMTH_13un2019_2.5,34.70399999999999,6.909332818731487,5,0.15379995279999997,0.08161310225849143,5
MMTH_13un2019_2.6,0.672,1.2166840181411112,5,-1.31690156025,0.14230083234954818,5
MMTH_13un2019_3.3,6.575999999999999,3.1365713765192718,5,-0.604187399,0.21888210649467527,5
MMTH_13un2019_3.4,6.720000000000001,3.2333264604737955,5,-0.6014151048,0.24183890119021764,5
NBGN_11Jun2019_1.1,0.64,0.13856406460551018,3,-1.5815758313333335,0.10166633578559013,3
NBGN_11Jun2019_1.2,1829.28,4089.0528049415066,4,-0.4656931307500001,2.0319324936570546,5
NBGN_11Jun2019_1.3,5.919999999999999,2.2170250336881625,3,-0.633209818,0.19109902408959076,3
NBGN_11Jun2019_1.4,5.568,3.9120736189391936,5,-0.7346162204000001,0.3399645735848488,5
NEER_26Jun2018_1.1,29.37,11.347231254489227,8,0.058113523375,0.1737380181845733,8
NEER_26Jun2018_1.2,13.32,12.22082531699768,8,-0.362219127125,0.29678146189050786,8
NEER_26Jun2018_1.3,6.449999999999999,3.597570608857355,8,-0.6217097595,0.21822865034309566,8
NEER_26Jun2018_1.4,21.0,10.124798410691586,8,-0.097841279125,0.19689451475921563,8
NEER_26Jun2018_2.1,32.22,18.9423063914765,8,0.017278453625000006,0.3816079097656846,8
NEER_26Jun2018_2.2,5.07,2.4185710066660673,8,-0.801818324625,0.4928552023761885,8
NEER_26Jun2018_2.3,14.850000000000001,3.504886384952952,8,-0.22024885775,0.11112809605135018,8
NEER_26Jun2018_2.4,37.41,15.154755972018439,8,0.1683549685,0.14703727779504205,8
NGBN_STMB_12Jun2019_1.1,52.919999999999995,12.790578429129937,30,0.32963960043333335,0.11443283152985724,30
VCAC_27May2019_2.1,14.280000000000001,6.585802912325878,5,-0.2713949575,0.24803662552820874,5
VCAC_27May2019_2.3,0.24,0.3394112549695428,3,-1.7614393725,0.33737567485873593,5
VCAC_27May2019_2.4,-0.08,0.13856406460551018,3,,,5
VCAC_27May2019_3.1,227.82,196.05442917720578,5,0.853525467,0.38835063535540626,5
VCAC_27May2019_3.2,138.48,163.13328047949014,5,0.40594856850000005,0.7103332860440041,5
VCHB_26May2019_1.1.1,458.22,234.32567080881256,5,1.202935332,0.34727006654982406,5
VCHB_26May2019_1.2.1,402.35999999999996,209.2470386887231,5,1.19285496,0.23695020251233817,5
VCHB_26May2019_1.3.1,281.28000000000003,121.80301474101533,5,1.0334542083333333,0.22857009865507474,5
VCHB_26May2019_1.4.1,146.52,24.10258077468053,5,0.78126015275,0.07164288424090433,5
VCHB_26May2019_2.1.1,78.84,31.05612982971317,5,0.498998818,0.1757167026336585,5
VCHB_26May2019_2.2.1,,,5,,,5
VCSS_25May2019_2.1.1,530.56,624.2083190730478,5,0.8247098473333333,1.100849430856807,5
VCSS_25May2019_2.2.2,111.40799999999999,168.85534258648732,5,-0.12095349479999999,1.082481574135317,5
VCSS_25May2019_2.3.1,,,5,,,5
VCSS_25May2019_2.4.1,,,5,,,5
VCSS_25May2019_3.1.1,485.7,299.8615600573038,5,1.23333408425,0.29900855620850725,5
VCSS_25May2019_3.2.1,529.92,520.7815664940532,5,1.20823533525,0.3799867578144413,5
WTHB_01Jul2018_1.1,7.885714285714286,2.74842292441112,8,-0.5066433692857143,0.15529417081361288,8
WTHB_01Jul2018_1.2,8.1,5.544170683828969,8,-0.53439535575,0.23065149394990686,8
WTHB_01Jul2018_1.3,2.0700000000000003,1.0728333647735926,7,-1.0212809727142858,0.11907954600989994,8
WTHB_01Jul2018_1.4,1.62,2.250485661870725,7,-1.2127300276666666,0.4678354856622596,8
WTHB_01Jul2018_1.5,2.46,1.4668917576192966,8,-1.045771895875,0.22739177677943667,8
WTHB_07Jun2019_1.1,1.2,0.33941125496954283,2,-1.3098943795,0.12451532334657675,2
WTHB_07Jun2019_1.2,0.48000000000000004,0.6349803146555019,2,-1.650514998,0.49424642967438825,3
WTHB_07Jun2019_2.1,0.0,0.0,0,,,3
YSLK_04Jul2018_1.1,7.2,4.5027991294304925,5,-0.622273357,0.3622424341503747,5
YSLK_04Jul2018_1.2,2.7359999999999998,3.066933321740138,5,-0.89079243025,0.2835330135201302,5
YSLK_04Jul2018_2.1,76.08000000000001,130.2591491714004,8,-0.08720126774999998,0.8217898204790978,8
YSLK_04Jul2018_2.2,55.86,143.51419481809356,7,-0.4615190322857143,0.8416941768479187,8
YSLK_04Jul2018_2.3,107.94000000000001,174.71000363868288,7,0.08746296450000002,1.0388088396387944,8
YSLK_04Jul2018_2.4,0.5828571428571429,0.896469264870326,6,-1.353917194,0.26108377641130714,7
